TABLEIDSEC,TABLEAUTHORITYSEC,TABLEREAD,TABLEWRITE,TABLEDELETE,TABLEADDNOTICE,TABLECHANGENOTICE,TABLEDELETENOTICE,USERNAMESEC,LASTCHANGEDATESEC,
SECURITY,6,y,y,n,y,y,y,,,
SECURITY,5,y,y,n,y,y,y,,,
SECURITY,4,n,n,n,n,n,n,,,
SECURITY,3,n,n,n,n,n,n,,,
SECURITY,2,n,n,n,n,n,n,,,
SECURITY,1,n,n,n,n,n,n,,,
SECURITY,0,n,n,n,n,n,n,,,
INVENTORY,6,y,y,y,n,n,n,,,
INVENTORY,5,y,y,n,n,n,n,,,
INVENTORY,4,y,n,n,n,n,n,,,
INVENTORY,3,y,n,n,n,n,n,,,
INVENTORY,2,y,y,n,n,n,n,,,
INVENTORY,1,y,n,n,n,n,n,,,
INVENTORY,0,y,n,n,n,n,n,,,
REPORTING,6,y,y,y,n,n,n,,,
REPORTING,5,y,y,n,n,n,n,,,
REPORTING,4,y,n,n,n,n,n,,,
REPORTING,3,y,n,n,n,n,n,,,
REPORTING,2,y,y,n,n,n,n,,,
REPORTING,1,y,n,n,n,n,n,,,
REPORTING,0,y,n,n,n,n,n,,,
SCHEDULE,6,y,y,y,n,n,n,,,
SCHEDULE,5,y,y,n,n,n,n,,,
SCHEDULE,4,y,n,n,n,n,n,,,
SCHEDULE,3,y,n,n,n,n,n,,,
SCHEDULE,2,y,y,n,n,n,n,,,
SCHEDULE,1,y,n,n,n,n,n,,,
SCHEDULE,0,y,n,n,n,n,n,,,
AUX,6,y,y,y,n,n,n,,,
AUX,5,y,y,y,n,n,n,,,
AUX,4,n,n,n,n,n,n,,,
AUX,3,n,n,n,n,n,n,,,
AUX,2,y,n,n,n,n,n,,,
AUX,1,n,n,n,n,n,n,,,
AUX,0,n,n,n,n,n,n,,,
WRD,6,y,y,y,n,n,n,,,
WRD,5,y,y,y,n,n,n,,,
WRD,4,n,n,n,n,n,n,,,
WRD,3,n,n,n,n,n,n,,,
WRD,2,y,n,n,n,n,n,,,
WRD,1,n,n,n,n,n,n,,,
WRD,0,n,n,n,n,n,n,,,
COUSER,6,y,y,y,n,n,n,,,
COUSER,5,y,y,n,n,n,n,,,
COUSER,4,n,n,n,n,n,n,,,
COUSER,3,n,n,n,n,n,n,,,
COUSER,2,y,n,n,n,n,n,,,
COUSER,1,y,n,n,n,n,n,,,
COUSER,0,y,n,n,n,n,n,,,
MUSIC,6,y,y,y,n,n,n,,,
MUSIC,5,y,y,y,n,n,n,,,
MUSIC,4,y,y,n,y,y,y,,,
MUSIC,3,n,n,n,n,n,n,,,
MUSIC,2,n,n,n,n,n,n,,,
MUSIC,1,n,n,n,n,n,n,,,
MUSIC,0,n,n,n,n,n,n,,,
